"year","road_user","hospitalisations"
2011,"Bus occupant",214
2011,"Car occupant",16690
2011,"Heavy transport",562
2011,"Motorcyclist",7565
2011,"Other or unknown",610
2011,"Pedal cyclist",5391
2011,"Pedestrian",2754
2011,"Pick-up truck or van occupant",247
2012,"Bus occupant",217
2012,"Car occupant",16439
2012,"Heavy transport",511
2012,"Motorcyclist",7728
2012,"Other or unknown",563
2012,"Pedal cyclist",5621
2012,"Pedestrian",2672
2012,"Pick-up truck or van occupant",273
2013,"Bus occupant",226
2013,"Car occupant",16588
2013,"Heavy transport",484
2013,"Motorcyclist",8018
2013,"Other or unknown",536
2013,"Pedal cyclist",6262
2013,"Pedestrian",2657
2013,"Pick-up truck or van occupant",230
2014,"Bus occupant",289
2014,"Car occupant",16475
2014,"Heavy transport",480
2014,"Motorcyclist",8334
2014,"Other or unknown",508
2014,"Pedal cyclist",6636
2014,"Pedestrian",2554
2014,"Pick-up truck or van occupant",239
2015,"Bus occupant",246
2015,"Car occupant",17933
2015,"Heavy transport",510
2015,"Motorcyclist",8298
2015,"Other or unknown",503
2015,"Pedal cyclist",6716
2015,"Pedestrian",2627
2015,"Pick-up truck or van occupant",249
2016,"Bus occupant",283
2016,"Car occupant",19105
2016,"Heavy transport",484
2016,"Motorcyclist",8526
2016,"Other or unknown",620
2016,"Pedal cyclist",6904
2016,"Pedestrian",2743
2016,"Pick-up truck or van occupant",298
2017,"Bus occupant",265
2017,"Car occupant",19146
2017,"Heavy transport",528
2017,"Motorcyclist",8739
2017,"Other or unknown",600
2017,"Pedal cyclist",7076
2017,"Pedestrian",2714
2017,"Pick-up truck or van occupant",271
2018,"Bus occupant",247
2018,"Car occupant",19665
2018,"Heavy transport",553
2018,"Motorcyclist",8623
2018,"Other or unknown",603
2018,"Pedal cyclist",6959
2018,"Pedestrian",2661
2018,"Pick-up truck or van occupant",279
2019,"Bus occupant",255
2019,"Car occupant",19268
2019,"Heavy transport",524
2019,"Motorcyclist",8924
2019,"Other or unknown",620
2019,"Pedal cyclist",7302
2019,"Pedestrian",2713
2019,"Pick-up truck or van occupant",260
2020,"Bus occupant",173
2020,"Car occupant",17292
2020,"Heavy transport",500
2020,"Motorcyclist",8684
2020,"Other or unknown",582
2020,"Pedal cyclist",8332
2020,"Pedestrian",2103
2020,"Pick-up truck or van occupant",300
2021,"Bus occupant",169
2021,"Car occupant",18539
2021,"Heavy transport",475
2021,"Motorcyclist",8883
2021,"Other or unknown",601
2021,"Pedal cyclist",8163
2021,"Pedestrian",2334
2021,"Pick-up truck or van occupant",341
